# ----------------------------------------
# Traffic acquisition: Session source / medium
# Account: Quinn Reams Analytics
# Property: QuinnReams Portfolio
# ----------------------------------------
# 
# All Users
# Start date: 20260318
# End date: 20260325
Session source / medium,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
(direct) / (none),48,26,0.5416666666666666,38.4375,7.645833333333333,367,0,0,0
linkedin / organic_social,1,1,1,2,4,4,0,0,0
