# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Quinn Reams Analytics
# Property: QuinnReams Portfolio
# ----------------------------------------
# 
# All Users
# Start date: 20260318
# End date: 20260325
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,73,27,2.7037037037037037,39.629629629629626,294,0,0
/projects/web-seo-analytics-lab,29,9,3.2222222222222223,86.33333333333333,77,0,0
